tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1631269653442961409,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,683,462,6560,False,2023-03-02T12:26:07+00:00,"So many NN’s, the visualizer tool crashes trying to render them",[],[],[],[],https://twitter.com/elonmusk/status/1631269653442961409,
1631257681473294338,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,849,696,8929,False,2023-03-02T11:38:33+00:00,This is insane,[],[],[],[],https://twitter.com/elonmusk/status/1631257681473294338,
1631202637184991237,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,462,296,5209,False,2023-03-02T07:59:49+00:00,,[],[],[],[],https://twitter.com/elonmusk/status/1631202637184991237,
1631199184203182080,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,11345,13136,125149,False,2023-03-02T07:46:06+00:00,"The ability of Twitter advertising to reach the most influential people in the world is often not fully appreciated.

While a few other social networks are technically bigger, Twitter is where the writers & leaders spend their time.",[],[],[],[],https://twitter.com/elonmusk/status/1631199184203182080,
1631194410552803328,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,1767,1598,33262,False,2023-03-02T07:27:08+00:00,Cybertruck cruisers will be next-level. Designed for Bladerunner.,[],[],[],[],https://twitter.com/elonmusk/status/1631194410552803328,
1631126559015747585,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,15571,26665,124579,False,2023-03-02T02:57:31+00:00,"Twice as many people died in Japan last year as were born. Population freefall.

Rest of the world is trending to follow.",[],[],[],[],https://twitter.com/elonmusk/status/1631126559015747585,https://t.co/JDHiFviua5
1631122553258274818,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,540,386,6662,False,2023-03-02T02:41:36+00:00,Exactly,[],[],[],[],https://twitter.com/elonmusk/status/1631122553258274818,
1631122359556947973,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,304,162,2722,False,2023-03-02T02:40:49+00:00,Wow,[],[],[],[],https://twitter.com/elonmusk/status/1631122359556947973,
1631116559941771265,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,276,253,5104,False,2023-03-02T02:17:47+00:00,"Good for 
@LillyPad
!",[],['LillyPad'],[],[],https://twitter.com/elonmusk/status/1631116559941771265,
1631081153024217091,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,733,370,10939,False,2023-03-01T23:57:05+00:00,Interesting,[],[],[],[],https://twitter.com/elonmusk/status/1631081153024217091,
1631062128147693573,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,741,648,10231,False,2023-03-01T22:41:29+00:00,Bus voltage raised from 12V to 48V drops copper usage by ~4X,[],[],[],[],https://twitter.com/elonmusk/status/1631062128147693573,
1631060708715577348,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,251,188,3747,False,2023-03-01T22:35:51+00:00,lol,[],[],[],[],https://twitter.com/elonmusk/status/1631060708715577348,
1631059721368076289,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,225,366,3571,False,2023-03-01T22:31:55+00:00,Olbermann posting from his dog account was epic,[],[],[],[],https://twitter.com/elonmusk/status/1631059721368076289,
1631055720153006080,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,2121,2295,32756,False,2023-03-01T22:16:01+00:00,Detailed whitepaper with calculations & assumptions to be released by Tesla shortly,[],[],[],[],https://twitter.com/elonmusk/status/1631055720153006080,
1631055228089794560,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,6450,10732,114822,False,2023-03-01T22:14:04+00:00,,[],[],['https://pbs.twimg.com/media/FqKsFbVWAAESVth?format=jpg&name=900x900'],[],https://twitter.com/elonmusk/status/1631055228089794560,
1631053352200024064,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,1122,753,15179,False,2023-03-01T22:06:37+00:00,Accurate,[],[],[],[],https://twitter.com/elonmusk/status/1631053352200024064,
1631042709141037056,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,2186,2902,26901,True,2023-03-01T21:24:19+00:00,…,[],[],[],[],https://twitter.com/elonmusk/status/1631042709141037056,
1631040406115823618,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,3203,2958,36716,True,2023-03-01T21:15:10+00:00,"You’re not gonna believe this, but we’re running a little late! 

Presentation starts in ~5 mins.",[],[],[],[],https://twitter.com/elonmusk/status/1631040406115823618,
1631033881079197696,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,345,254,3842,False,2023-03-01T20:49:15+00:00,obv,[],[],[],[],https://twitter.com/elonmusk/status/1631033881079197696,
1631033350746955777,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,178,138,4118,False,2023-03-01T20:47:08+00:00,,[],[],[],[],https://twitter.com/elonmusk/status/1631033350746955777,
1631032856616026112,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,388,392,11137,False,2023-03-01T20:45:10+00:00,His best work imo,[],[],[],[],https://twitter.com/elonmusk/status/1631032856616026112,
1631030915810967552,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,1472,2250,41076,False,2023-03-01T20:37:28+00:00,"His personal account (
@BasedMikeLee
) was incorrectly flagged as impersonation, which is not totally crazy, since it is based",[],['BasedMikeLee'],[],[],https://twitter.com/elonmusk/status/1631030915810967552,
1631012111101972486,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,3645,5102,62016,False,2023-03-01T19:22:44+00:00,"Once you acknowledge that alcohol is poison, it’s fine to drink a little. The trade is a small amount of health for an even smaller amount of fun, but that’s not crazy to do once in a while with friends.

Alcohol is a legacy drug.",[],[],[],[],https://twitter.com/elonmusk/status/1631012111101972486,
1630829002112811009,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,433,307,5921,False,2023-03-01T07:15:08+00:00,,[],[],[],[],https://twitter.com/elonmusk/status/1630829002112811009,
1630828537870524416,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,649,297,5423,False,2023-03-01T07:13:17+00:00,Intense,[],[],[],[],https://twitter.com/elonmusk/status/1630828537870524416,
1630827383602450432,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,163,122,2120,False,2023-03-01T07:08:42+00:00,,[],[],[],[],https://twitter.com/elonmusk/status/1630827383602450432,
1630825219429396480,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,442,286,7581,False,2023-03-01T07:00:06+00:00,,[],[],[],[],https://twitter.com/elonmusk/status/1630825219429396480,
1630816472984330241,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,10418,7953,92896,False,2023-03-01T06:25:20+00:00,"What do you call an infinite gear ratio?
All torque, no action.",[],[],[],[],https://twitter.com/elonmusk/status/1630816472984330241,
1630722888448856070,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,1275,938,21800,False,2023-03-01T00:13:28+00:00,Photo filters are so misleading ,[],[],[],[],https://twitter.com/elonmusk/status/1630722888448856070,
1630719610755375104,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,271,433,5860,False,2023-03-01T00:00:27+00:00,,[],[],[],[],https://twitter.com/elonmusk/status/1630719610755375104,
1630699974261370899,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,290,349,5579,False,2023-02-28T22:42:25+00:00,Good,[],[],[],[],https://twitter.com/elonmusk/status/1630699974261370899,
1630698427053899778,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,8449,24952,78329,False,2023-02-28T22:36:16+00:00,Periodic reminder to try using Twitter Lists. Will greatly improve your experience.,[],[],[],[],https://twitter.com/elonmusk/status/1630698427053899778,
1630680068417630214,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,249,207,3527,False,2023-02-28T21:23:19+00:00,Accurate,[],[],[],[],https://twitter.com/elonmusk/status/1630680068417630214,
1630676928934952963,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,180,166,3090,False,2023-02-28T21:10:51+00:00,Yeah,[],[],[],[],https://twitter.com/elonmusk/status/1630676928934952963,
1630657812530339855,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,100,122,1418,False,2023-02-28T19:54:53+00:00,"Tesla does INT8 inference. Way more efficient than FP16, but took us a lot of effort to overcome quantization errors.",[],[],[],[],https://twitter.com/elonmusk/status/1630657812530339855,
1630656914466938881,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,632,935,14849,False,2023-02-28T19:51:19+00:00,"Wow, 9 years ago. Amazingly, the US was dependent on Russian engines for national security missions back then!",[],[],[],[],https://twitter.com/elonmusk/status/1630656914466938881,
1630654820565614593,elonmusk,Elon Musk,https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_x96.jpg,196,390,5816,False,2023-02-28T19:42:59+00:00,"Raptor start is now reliable on the test stand under most conditions. 

Now we’re working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures & temps. 

Operating with low pressure, “warm” liquid oxygen is particularly important.",[],[],[],[],https://twitter.com/elonmusk/status/1630654820565614593,
